id,משרד,שנת תקציב,קוד תקציבי,כותרת,תקציב מקורי,תקציב מעודכן,ביצוע,אומדן ביצוע,שיעור ביצוע,סטטוס נתון,מקור
budget-sec-7-2023-00075001,sec-7,2023,00075001,שכר,172688000,114900000,114688792,,99.8,partial,https://next.obudget.org/i/budget/00075001/2023
budget-sec-7-2023-00075002,sec-7,2023,00075002,קניות,349411000,705845000,422017198,,59.8,partial,https://next.obudget.org/i/budget/00075002/2023
budget-sec-7-2023-000755,sec-7,2023,000755,הרשות להגנה על עדים,68592000,96665000,91962713,,95.1,partial,https://next.obudget.org/i/budget/000755/2023
budget-sec-7-2023-00075501,sec-7,2023,00075501,שכר,42103000,36971000,36964517,,100,partial,https://next.obudget.org/i/budget/00075501/2023
budget-sec-7-2023-00075502,sec-7,2023,00075502,קניות,26489000,59694000,54998196,,92.1,partial,https://next.obudget.org/i/budget/00075502/2023
budget-sec-7-2023-000760,sec-7,2023,000760,כבאות והצלה,1415067000,1700411000,1536465777,,90.4,partial,https://next.obudget.org/i/budget/000760/2023
budget-sec-7-2023-00076001,sec-7,2023,00076001,שכר,1096036000,1167951000,1133384183,,97,partial,https://next.obudget.org/i/budget/00076001/2023
budget-sec-7-2023-00076002,sec-7,2023,00076002,קניות,319031000,532460000,403081594,,75.7,partial,https://next.obudget.org/i/budget/00076002/2023
budget-sec-7-2023-000770,sec-7,2023,000770,שירות בתי הסוהר,4445880000,4820952000,4492821642,,93.2,partial,https://next.obudget.org/i/budget/000770/2023
budget-sec-7-2023-00077001,sec-7,2023,00077001,שכר,2812442000,2763079000,2690736643,,97.4,partial,https://next.obudget.org/i/budget/00077001/2023
budget-sec-7-2023-00077002,sec-7,2023,00077002,קניות,764073000,1223269000,982852931,,80.3,partial,https://next.obudget.org/i/budget/00077002/2023
budget-sec-7-2023-00077003,sec-7,2023,00077003,גמלאות,869365000,834604000,819232068,,98.2,partial,https://next.obudget.org/i/budget/00077003/2023
budget-sec-7-2023-000780,sec-7,2023,000780,משטרת ישראל,15527476000,17175594000,16452564042,,95.8,partial,https://next.obudget.org/i/budget/000780/2023
budget-sec-7-2023-00078001,sec-7,2023,00078001,שכר,8756347000,8598418000,8591947448,,99.9,partial,https://next.obudget.org/i/budget/00078001/2023
budget-sec-7-2023-00078002,sec-7,2023,00078002,קניות,2611581000,4128042000,3413280018,,82.7,partial,https://next.obudget.org/i/budget/00078002/2023
budget-sec-7-2023-00078003,sec-7,2023,00078003,"רכישת שירותי כ""א",420979000,565560000,565730979,,100,partial,https://next.obudget.org/i/budget/00078003/2023
budget-sec-7-2023-00078004,sec-7,2023,00078004,תקציב עקיף,0,0,-1778096,,,partial,https://next.obudget.org/i/budget/00078004/2023
budget-sec-7-2023-00078008,sec-7,2023,00078008,גמלאות,3738569000,3883574000,3883383693,,100,partial,https://next.obudget.org/i/budget/00078008/2023
budget-sec-7-2023-000799,sec-7,2023,000799,חשבון מעבר,0,0,0,,,partial,https://next.obudget.org/i/budget/000799/2023
budget-sec-7-2023-00079999,sec-7,2023,00079999,חשבון מעבר,0,0,0,,,partial,https://next.obudget.org/i/budget/00079999/2023
budget-sec-7-2024-0007,sec-7,2024,0007,המשרד לביטחון הפנים,25111908000,27010755000,25176846831,,93.2,partial,https://next.obudget.org/i/budget/0007/2024
budget-sec-7-2024-000750,sec-7,2024,000750,המשרד לבטחון הפנים,1079010000,934997000,632401603,,67.6,partial,https://next.obudget.org/i/budget/000750/2024
budget-sec-7-2024-00075001,sec-7,2024,00075001,שכר,500311000,129799000,124653063,,96,partial,https://next.obudget.org/i/budget/00075001/2024
budget-sec-7-2024-00075002,sec-7,2024,00075002,קניות,578699000,805198000,507748540,,63.1,partial,https://next.obudget.org/i/budget/00075002/2024
budget-sec-7-2024-000755,sec-7,2024,000755,הרשות להגנה על עדים,100595000,105534000,94832037,,89.9,partial,https://next.obudget.org/i/budget/000755/2024
budget-sec-7-2024-00075501,sec-7,2024,00075501,שכר,51077000,36398000,36376714,,99.9,partial,https://next.obudget.org/i/budget/00075501/2024
budget-sec-7-2024-00075502,sec-7,2024,00075502,קניות,49518000,69136000,58455323,,84.6,partial,https://next.obudget.org/i/budget/00075502/2024
budget-sec-7-2024-000760,sec-7,2024,000760,כבאות והצלה,1541863000,1996150000,1757124464,,88,partial,https://next.obudget.org/i/budget/000760/2024
budget-sec-7-2024-00076001,sec-7,2024,00076001,שכר,1203142000,1295991000,1233792632,,95.2,partial,https://next.obudget.org/i/budget/00076001/2024
budget-sec-7-2024-00076002,sec-7,2024,00076002,קניות,338721000,700159000,523331832,,74.7,partial,https://next.obudget.org/i/budget/00076002/2024
budget-sec-7-2024-000770,sec-7,2024,000770,שירות בתי הסוהר,4987378000,5634703000,5144798685,,91.3,partial,https://next.obudget.org/i/budget/000770/2024
budget-sec-7-2024-00077001,sec-7,2024,00077001,שכר,3160994000,3045069000,2906470563,,95.4,partial,https://next.obudget.org/i/budget/00077001/2024
budget-sec-7-2024-00077002,sec-7,2024,00077002,קניות,911311000,1641918000,1353438362,,82.4,partial,https://next.obudget.org/i/budget/00077002/2024
budget-sec-7-2024-00077003,sec-7,2024,00077003,גמלאות,915073000,947716000,884889760,,93.4,partial,https://next.obudget.org/i/budget/00077003/2024
budget-sec-7-2024-000780,sec-7,2024,000780,משטרת ישראל,17403062000,18339371000,17547690042,,95.7,partial,https://next.obudget.org/i/budget/000780/2024
budget-sec-7-2024-00078001,sec-7,2024,00078001,שכר,10106235000,9132393000,8915175648,,97.6,partial,https://next.obudget.org/i/budget/00078001/2024
budget-sec-7-2024-00078002,sec-7,2024,00078002,קניות,2934860000,4588745000,4037281199,,88,partial,https://next.obudget.org/i/budget/00078002/2024
budget-sec-7-2024-00078003,sec-7,2024,00078003,"רכישת שירותי כ""א",433537000,470875000,467665344,,99.3,partial,https://next.obudget.org/i/budget/00078003/2024
budget-sec-7-2024-00078004,sec-7,2024,00078004,תקציב עקיף,1000000,0,-304165,,,partial,https://next.obudget.org/i/budget/00078004/2024
budget-sec-7-2024-00078008,sec-7,2024,00078008,גמלאות,3927430000,4147358000,4127872016,,99.5,partial,https://next.obudget.org/i/budget/00078008/2024
budget-sec-7-2024-000799,sec-7,2024,000799,חשבון מעבר,0,0,0,,,partial,https://next.obudget.org/i/budget/000799/2024
budget-sec-7-2024-00079999,sec-7,2024,00079999,חשבון מעבר,0,0,0,,,partial,https://next.obudget.org/i/budget/00079999/2024
budget-sec-7-2025-0007,sec-7,2025,0007,המשרד לביטחון לאומי,26727589000,28841551000,27635155719,,95.8,partial,https://next.obudget.org/i/budget/0007/2025
budget-sec-7-2025-000750,sec-7,2025,000750,המשרד לביטחון לאומי,608961000,780186000,578995544,,74.2,partial,https://next.obudget.org/i/budget/000750/2025
budget-sec-7-2025-00075001,sec-7,2025,00075001,שכר,141196000,138620000,135810733,,98,partial,https://next.obudget.org/i/budget/00075001/2025
budget-sec-7-2025-00075002,sec-7,2025,00075002,קניות,467765000,641566000,443184811,,69.1,partial,https://next.obudget.org/i/budget/00075002/2025
budget-sec-7-2025-000755,sec-7,2025,000755,הרשות להגנה על עדים,101776000,109439000,81432799,,74.4,partial,https://next.obudget.org/i/budget/000755/2025
budget-sec-7-2025-00075501,sec-7,2025,00075501,שכר,39716000,39960000,35457761,,88.7,partial,https://next.obudget.org/i/budget/00075501/2025
budget-sec-7-2025-00075502,sec-7,2025,00075502,קניות,62060000,69479000,45975038,,66.2,partial,https://next.obudget.org/i/budget/00075502/2025
budget-sec-7-2025-000760,sec-7,2025,000760,כבאות והצלה,1779030000,1982438000,1814227614,,91.5,partial,https://next.obudget.org/i/budget/000760/2025
budget-sec-7-2025-00076001,sec-7,2025,00076001,שכר,1332930000,1386608000,1368930604,,98.7,partial,https://next.obudget.org/i/budget/00076001/2025
budget-sec-7-2025-00076002,sec-7,2025,00076002,קניות,446100000,595830000,445297010,,74.7,partial,https://next.obudget.org/i/budget/00076002/2025
budget-sec-7-2025-000770,sec-7,2025,000770,שירות בתי הסוהר,5851105000,6198274000,5885974012,,95,partial,https://next.obudget.org/i/budget/000770/2025
budget-sec-7-2025-00077001,sec-7,2025,00077001,שכר,3200552000,3353831000,3340037056,,99.6,partial,https://next.obudget.org/i/budget/00077001/2025
budget-sec-7-2025-00077002,sec-7,2025,00077002,קניות,1665553000,1850443000,1570756711,,84.9,partial,https://next.obudget.org/i/budget/00077002/2025
budget-sec-7-2025-00077003,sec-7,2025,00077003,גמלאות,985000000,994000000,975180245,,98.1,partial,https://next.obudget.org/i/budget/00077003/2025
budget-sec-7-2025-000780,sec-7,2025,000780,משטרת ישראל,18386717000,19771214000,19274525750,,97.5,partial,https://next.obudget.org/i/budget/000780/2025
budget-sec-7-2025-00078001,sec-7,2025,00078001,שכר,10123504000,10158039000,10152356525,,99.9,partial,https://next.obudget.org/i/budget/00078001/2025
budget-sec-7-2025-00078002,sec-7,2025,00078002,קניות,3630213000,4529350000,4049047816,,89.4,partial,https://next.obudget.org/i/budget/00078002/2025
budget-sec-7-2025-00078003,sec-7,2025,00078003,"רכישת שירותי כ""א",332000000,639037000,629285097,,98.5,partial,https://next.obudget.org/i/budget/00078003/2025
budget-sec-7-2025-00078004,sec-7,2025,00078004,תקציב עקיף,0,0,-924494,,,partial,https://next.obudget.org/i/budget/00078004/2025
budget-sec-7-2025-00078008,sec-7,2025,00078008,גמלאות,4301000000,4444788000,4444760806,,100,partial,https://next.obudget.org/i/budget/00078008/2025
budget-sec-7-2025-000799,sec-7,2025,000799,חשבון מעבר,0,0,0,,,partial,https://next.obudget.org/i/budget/000799/2025
budget-sec-7-2025-00079999,sec-7,2025,00079999,חשבון מעבר,0,0,0,,,partial,https://next.obudget.org/i/budget/00079999/2025
budget-sec-7-2026-0007,sec-7,2026,0007,המשרד לביטחון לאומי,30395016000,31287825000,,,,estimate,https://next.obudget.org/i/budget/0007/2026
budget-sec-7-2026-000750,sec-7,2026,000750,המשרד לביטחון לאומי,1267693000,1267541000,,,,estimate,https://next.obudget.org/i/budget/000750/2026
budget-sec-7-2026-00075001,sec-7,2026,00075001,שכר,155923000,155771000,,,,estimate,https://next.obudget.org/i/budget/00075001/2026
budget-sec-7-2026-00075002,sec-7,2026,00075002,קניות,1111770000,1111770000,,,,estimate,https://next.obudget.org/i/budget/00075002/2026
budget-sec-7-2026-000755,sec-7,2026,000755,הרשות להגנה על עדים,121621000,141488000,,,,estimate,https://next.obudget.org/i/budget/000755/2026
budget-sec-7-2026-00075501,sec-7,2026,00075501,שכר,41077000,41035000,,,,estimate,https://next.obudget.org/i/budget/00075501/2026
budget-sec-7-2026-00075502,sec-7,2026,00075502,קניות,80544000,100453000,,,,estimate,https://next.obudget.org/i/budget/00075502/2026
budget-sec-7-2026-000760,sec-7,2026,000760,כבאות והצלה,2055086000,2247966000,,,,estimate,https://next.obudget.org/i/budget/000760/2026
budget-sec-7-2026-00076001,sec-7,2026,00076001,שכר,1431000000,1507187000,,,,estimate,https://next.obudget.org/i/budget/00076001/2026
budget-sec-7-2026-00076002,sec-7,2026,00076002,קניות,624086000,740779000,,,,estimate,https://next.obudget.org/i/budget/00076002/2026
budget-sec-7-2026-000770,sec-7,2026,000770,שירות בתי הסוהר,6747709000,6791761000,,,,estimate,https://next.obudget.org/i/budget/000770/2026
