כלל,משרד,שנה,קוד תקנה,שם התקנה,מקורי,מעודכן,ביצוע,ראיה,מקור
קפיצה חדה בין שנים,education,2026,0020600125,פעולות ופרוייקטים לקידום מערכת החינוך,43844000,43844000,,"מ-1,100,000 ש""ח ב-2025 ל-43,844,000 ש""ח ב-2026",https://next.obudget.org/i/budget/0020600125/2026
קפיצה חדה בין שנים,education,2026,0020660153,סל תלמיד עולה,43035000,43035000,,"מ-1,602,000 ש""ח ב-2025 ל-43,035,000 ש""ח ב-2026",https://next.obudget.org/i/budget/0020660153/2026
ביצוע גבוה מהתקציב המעודכן,education,2025,0020660128,הוצאות פנימיה וכפר,10321000,16033000,39832388,"בוצעו 39,832,388 ש""ח מול תקציב מעודכן של 16,033,000 ש""ח — פער של 23,799,388 ש""ח",https://next.obudget.org/i/budget/0020660128/2025
ביצוע ללא תקציב מעודכן,education,2024,0020660126,הוצאות בתי ספר ממשלתיים,12057000,0,38311355,"בוצעו 38,311,355 ש""ח מתקנה שתקציבה המעודכן אפס",https://next.obudget.org/i/budget/0020660126/2024
ביצוע גבוה מהתקציב המעודכן,education,2025,0020660126,הוצאות בתי ספר ממשלתיים,11218000,10256000,29918967,"בוצעו 29,918,967 ש""ח מול תקציב מעודכן של 10,256,000 ש""ח — פער של 19,662,967 ש""ח",https://next.obudget.org/i/budget/0020660126/2025
קפיצה חדה בין שנים,education,2025,0020660117,דמי שימוש בדיור ממשלתי,29108000,22533000,21377737,"מ-1,513,000 ש""ח ב-2024 ל-22,533,000 ש""ח ב-2025",https://next.obudget.org/i/budget/0020660117/2025
ביצוע גבוה מהתקציב המעודכן,education,2024,0020600156,הקצבות לחינוך ותרבות לפי החלטת הועדה הציבורית לעניני עזבונות,0,835000,13981551,"בוצעו 13,981,551 ש""ח מול תקציב מעודכן של 835,000 ש""ח — פער של 13,146,551 ש""ח",https://next.obudget.org/i/budget/0020600156/2024
ביצוע גבוה מהתקציב המעודכן,education,2025,0020660130,אחזקת המשק החקלאי,175000,3095000,9763508,"בוצעו 9,763,508 ש""ח מול תקציב מעודכן של 3,095,000 ש""ח — פער של 6,668,508 ש""ח",https://next.obudget.org/i/budget/0020660130/2025
ביצוע ללא תקציב מעודכן,education,2023,0020600156,הקצבות לחינוך ותרבות לפי החלטת הועדה הציבורית לעניני עזבונות,0,0,8834196,"בוצעו 8,834,196 ש""ח מתקנה שתקציבה המעודכן אפס",https://next.obudget.org/i/budget/0020600156/2023
ביצוע גבוה מהתקציב המעודכן,education,2025,0020600156,הקצבות לחינוך ותרבות לפי החלטת הועדה הציבורית לעניני עזבונות,0,304000,7571885,"בוצעו 7,571,885 ש""ח מול תקציב מעודכן של 304,000 ש""ח — פער של 7,267,885 ש""ח",https://next.obudget.org/i/budget/0020600156/2025
ביצוע ללא תקציב מעודכן,education,2023,0020660158,הון חוזר במשק החקלאי,0,0,7170000,"בוצעו 7,170,000 ש""ח מתקנה שתקציבה המעודכן אפס",https://next.obudget.org/i/budget/0020660158/2023
ביצוע ללא תקציב מעודכן,education,2025,0020660158,הון חוזר במשק החקלאי,0,0,6315000,"בוצעו 6,315,000 ש""ח מתקנה שתקציבה המעודכן אפס",https://next.obudget.org/i/budget/0020660158/2025
ביצוע ללא תקציב מעודכן,education,2024,0020660158,הון חוזר במשק החקלאי,0,0,6256000,"בוצעו 6,256,000 ש""ח מתקנה שתקציבה המעודכן אפס",https://next.obudget.org/i/budget/0020660158/2024
תקציב שלא בוצע כלל,education,2025,0020630301,ייעודה לשכר במעין החינוך התורני,20666000,25667000,0,"תקציב מעודכן של 25,667,000 ש""ח — וביצוע אפס",https://next.obudget.org/i/budget/0020630301/2025
תקציב שלא בוצע כלל,education,2024,0020660174,שיפוץ מוסדות בחינוך ההתיישבותי,0,59404000,0,"תקציב מעודכן של 59,404,000 ש""ח — וביצוע אפס",https://next.obudget.org/i/budget/0020660174/2024
ביצוע ללא תקציב מעודכן,health,2025,0024200381,הקצאת מחלות קשות לפי סעיף 19 לחוק ביטוח בריאות ממלכתי,0,0,3312005598,"בוצעו 3,312,005,598 ש""ח מתקנה שתקציבה המעודכן אפס",https://next.obudget.org/i/budget/0024200381/2025
ביצוע ללא תקציב מעודכן,health,2024,0024200381,הקצאת מחלות קשות לפי סעיף 19 לחוק ביטוח בריאות ממלכתי,0,0,3222222546,"בוצעו 3,222,222,546 ש""ח מתקנה שתקציבה המעודכן אפס",https://next.obudget.org/i/budget/0024200381/2024
ביצוע גבוה מהתקציב המעודכן,health,2025,0024071033,רכש שירותי אשפוז סיעודי,1935120000,2220020000,3028060166,"בוצעו 3,028,060,166 ש""ח מול תקציב מעודכן של 2,220,020,000 ש""ח — פער של 808,040,166 ש""ח",https://next.obudget.org/i/budget/0024071033/2025
ביצוע ללא תקציב מעודכן,health,2023,0024200381,הקצאת מחלות קשות לפי סעיף 19 לחוק ביטוח בריאות ממלכתי,0,0,2980413816,"בוצעו 2,980,413,816 ש""ח מתקנה שתקציבה המעודכן אפס",https://next.obudget.org/i/budget/0024200381/2023
ביצוע גבוה מהתקציב המעודכן,health,2024,0024071033,רכש שירותי אשפוז סיעודי,1822120000,1884645000,2673288561,"בוצעו 2,673,288,561 ש""ח מול תקציב מעודכן של 1,884,645,000 ש""ח — פער של 788,643,561 ש""ח",https://next.obudget.org/i/budget/0024071033/2024
ביצוע גבוה מהתקציב המעודכן,health,2023,0024071033,רכש שירותי אשפוז סיעודי,1769120000,1783899000,2476784416,"בוצעו 2,476,784,416 ש""ח מול תקציב מעודכן של 1,783,899,000 ש""ח — פער של 692,885,416 ש""ח",https://next.obudget.org/i/budget/0024071033/2023
ביצוע ללא תקציב מעודכן,health,2023,0024200317,תמיכה בקופות חולים בגין הסכמי ייצוב,0,0,1362100000,"בוצעו 1,362,100,000 ש""ח מתקנה שתקציבה המעודכן אפס",https://next.obudget.org/i/budget/0024200317/2023
ביצוע גבוה מהתקציב המעודכן,health,2023,0024200320,מבחני תמיכה בקופות חולים,370700000,415700000,556298027,"בוצעו 556,298,027 ש""ח מול תקציב מעודכן של 415,700,000 ש""ח — פער של 140,598,027 ש""ח",https://next.obudget.org/i/budget/0024200320/2023
ביצוע גבוה מהתקציב המעודכן,health,2025,0024070105,מימון הכשרות סטאז' לרופאים,55385000,133668000,172775235,"בוצעו 172,775,235 ש""ח מול תקציב מעודכן של 133,668,000 ש""ח — פער של 39,107,235 ש""ח",https://next.obudget.org/i/budget/0024070105/2025
ביצוע גבוה מהתקציב המעודכן,health,2025,0024020583,קורונה - רכש חיסונים,0,119476000,150754472,"בוצעו 150,754,472 ש""ח מול תקציב מעודכן של 119,476,000 ש""ח — פער של 31,278,472 ש""ח",https://next.obudget.org/i/budget/0024020583/2025
ביצוע גבוה מהתקציב המעודכן,health,2025,0024020538,מטה ומחשוב בתי חולים ממשלתיים,36008000,58861000,138408858,"בוצעו 138,408,858 ש""ח מול תקציב מעודכן של 58,861,000 ש""ח — פער של 79,547,858 ש""ח",https://next.obudget.org/i/budget/0024020538/2025
ביצוע גבוה מהתקציב המעודכן,health,2024,0024020538,מטה ומחשוב בתי חולים ממשלתיים,37633000,73122000,130822064,"בוצעו 130,822,064 ש""ח מול תקציב מעודכן של 73,122,000 ש""ח — פער של 57,700,064 ש""ח",https://next.obudget.org/i/budget/0024020538/2024
ביצוע גבוה מהתקציב המעודכן,health,2023,0024020538,מטה ומחשוב בתי חולים ממשלתיים,29333000,88324000,126297764,"בוצעו 126,297,764 ש""ח מול תקציב מעודכן של 88,324,000 ש""ח — פער של 37,973,764 ש""ח",https://next.obudget.org/i/budget/0024020538/2023
קפיצה חדה בין שנים,health,2026,0024070115,חודשי עבודה - מילוי מקום אחיות,111290000,111290000,,"מ-12,191,000 ש""ח ב-2025 ל-111,290,000 ש""ח ב-2026",https://next.obudget.org/i/budget/0024070115/2026
קפיצה חדה בין שנים,health,2026,0024020566,רשלנות רפואית,93615000,93615000,,"מ-20,000 ש""ח ב-2025 ל-93,615,000 ש""ח ב-2026",https://next.obudget.org/i/budget/0024020566/2026
ביצוע ללא תקציב מעודכן,health,2023,0024020594,מימון פעילויות כללי,0,0,91136000,"בוצעו 91,136,000 ש""ח מתקנה שתקציבה המעודכן אפס",https://next.obudget.org/i/budget/0024020594/2023
ביצוע ללא תקציב מעודכן,health,2024,0024020594,מימון פעילויות כללי,0,0,91136000,"בוצעו 91,136,000 ש""ח מתקנה שתקציבה המעודכן אפס",https://next.obudget.org/i/budget/0024020594/2024
ביצוע ללא תקציב מעודכן,health,2025,0024020594,מימון פעילויות כללי,0,0,91136000,"בוצעו 91,136,000 ש""ח מתקנה שתקציבה המעודכן אפס",https://next.obudget.org/i/budget/0024020594/2025
קפיצה חדה בין שנים,health,2025,0024070117,תפעול - אחיות,31951000,70852000,86540399,"מ-10,040,000 ש""ח ב-2024 ל-70,852,000 ש""ח ב-2025",https://next.obudget.org/i/budget/0024070117/2025
ביצוע גבוה מהתקציב המעודכן,health,2024,0024169090,קניות לשכות,52544000,55700000,86373181,"בוצעו 86,373,181 ש""ח מול תקציב מעודכן של 55,700,000 ש""ח — פער של 30,673,181 ש""ח",https://next.obudget.org/i/budget/0024169090/2024
ביצוע גבוה מהתקציב המעודכן,health,2024,0024070114,תפעול וקורסי הכשרה - אחיות,23150000,31384000,68736795,"בוצעו 68,736,795 ש""ח מול תקציב מעודכן של 31,384,000 ש""ח — פער של 37,352,795 ש""ח",https://next.obudget.org/i/budget/0024070114/2024
קפיצה חדה בין שנים,health,2025,0024200374,חרבות ברזל - תמיכות בבתי חולים ציבוריים,0,57806000,57805695,"מ-8,714,000 ש""ח ב-2024 ל-57,806,000 ש""ח ב-2025",https://next.obudget.org/i/budget/0024200374/2025
