כלל,משרד,שנה,קוד תקנה,שם התקנה,מקורי,מעודכן,ביצוע,ראיה,מקור
ביצוע גבוה מהתקציב המעודכן,environment,2025,0026130107,תמיכות,0,214453000,591539983,"בוצעו 591,539,983 ש""ח מול תקציב מעודכן של 214,453,000 ש""ח — פער של 377,086,983 ש""ח",https://next.obudget.org/i/budget/0026130107/2025
קפיצה חדה בין שנים,environment,2025,0026130107,תמיכות,0,214453000,591539983,"מ-22,464,000 ש""ח ב-2024 ל-214,453,000 ש""ח ב-2025",https://next.obudget.org/i/budget/0026130107/2025
ביצוע גבוה מהתקציב המעודכן,environment,2024,0026130107,תמיכות,0,22464000,399048813,"בוצעו 399,048,813 ש""ח מול תקציב מעודכן של 22,464,000 ש""ח — פער של 376,584,813 ש""ח",https://next.obudget.org/i/budget/0026130107/2024
ביצוע גבוה מהתקציב המעודכן,environment,2024,0026130106,פעולות מקצועיות,0,25513000,109977022,"בוצעו 109,977,022 ש""ח מול תקציב מעודכן של 25,513,000 ש""ח — פער של 84,464,022 ש""ח",https://next.obudget.org/i/budget/0026130106/2024
ביצוע גבוה מהתקציב המעודכן,environment,2025,0026130106,פעולות מקצועיות,0,43843000,99629014,"בוצעו 99,629,014 ש""ח מול תקציב מעודכן של 43,843,000 ש""ח — פער של 55,786,014 ש""ח",https://next.obudget.org/i/budget/0026130106/2025
ביצוע גבוה מהתקציב המעודכן,environment,2025,0026120128,פיתוח המצוק החופי,0,13523000,73323704,"בוצעו 73,323,704 ש""ח מול תקציב מעודכן של 13,523,000 ש""ח — פער של 59,800,704 ש""ח",https://next.obudget.org/i/budget/0026120128/2025
ביצוע גבוה מהתקציב המעודכן,environment,2023,0026120115,פעולות אשכול תעשיות,29000000,13105000,39610686,"בוצעו 39,610,686 ש""ח מול תקציב מעודכן של 13,105,000 ש""ח — פער של 26,505,686 ש""ח",https://next.obudget.org/i/budget/0026120115/2023
ביצוע ללא תקציב מעודכן,environment,2023,0026120128,פיתוח המצוק החופי,0,0,37901955,"בוצעו 37,901,955 ש""ח מתקנה שתקציבה המעודכן אפס",https://next.obudget.org/i/budget/0026120128/2023
קפיצה חדה בין שנים,environment,2026,0026120110,פרוייקטים סביבתיים,34837000,34837000,,"מ-5,236,000 ש""ח ב-2025 ל-34,837,000 ש""ח ב-2026",https://next.obudget.org/i/budget/0026120110/2026
ביצוע גבוה מהתקציב המעודכן,environment,2023,0026120139,תמיכות בתכנית זיהום אוויר,5719000,1395000,16080374,"בוצעו 16,080,374 ש""ח מול תקציב מעודכן של 1,395,000 ש""ח — פער של 14,685,374 ש""ח",https://next.obudget.org/i/budget/0026120139/2023
ביצוע גבוה מהתקציב המעודכן,environment,2023,0026130116,פעולות באזור יהודה ושומרון,0,3825000,14725220,"בוצעו 14,725,220 ש""ח מול תקציב מעודכן של 3,825,000 ש""ח — פער של 10,900,220 ש""ח",https://next.obudget.org/i/budget/0026130116/2023
ביצוע ללא תקציב מעודכן,environment,2025,0026140102,תמיכות,0,0,11694397,"בוצעו 11,694,397 ש""ח מתקנה שתקציבה המעודכן אפס",https://next.obudget.org/i/budget/0026140102/2025
ביצוע גבוה מהתקציב המעודכן,environment,2024,0026120123,יישום החלטת ממשלה 550 - תמיכות,0,492000,7304783,"בוצעו 7,304,783 ש""ח מול תקציב מעודכן של 492,000 ש""ח — פער של 6,812,783 ש""ח",https://next.obudget.org/i/budget/0026120123/2024
ביצוע ללא תקציב מעודכן,environment,2023,0026130401,שיא כח אדם,0,0,5099645,"בוצעו 5,099,645 ש""ח מתקנה שתקציבה המעודכן אפס",https://next.obudget.org/i/budget/0026130401/2023
ביצוע ללא תקציב מעודכן,environment,2023,0026130101,שיא כח אדם,0,0,1152878,"בוצעו 1,152,878 ש""ח מתקנה שתקציבה המעודכן אפס",https://next.obudget.org/i/budget/0026130101/2023
תקציב שלא בוצע כלל,environment,2023,0026120140,מפגעים סביבתיים חרבות ברזל,0,55000000,0,"תקציב מעודכן של 55,000,000 ש""ח — וביצוע אפס",https://next.obudget.org/i/budget/0026120140/2023
תקציב שלא בוצע כלל,environment,2024,0026130303,תמיכות,0,18960000,0,"תקציב מעודכן של 18,960,000 ש""ח — וביצוע אפס",https://next.obudget.org/i/budget/0026130303/2024
תקציב שלא בוצע כלל,environment,2025,0026130303,תמיכות,0,18964000,0,"תקציב מעודכן של 18,964,000 ש""ח — וביצוע אפס",https://next.obudget.org/i/budget/0026130303/2025
תקציב שלא בוצע כלל,environment,2025,0026130411,תמיכות,0,54351000,0,"תקציב מעודכן של 54,351,000 ש""ח — וביצוע אפס",https://next.obudget.org/i/budget/0026130411/2025
קפיצה חדה בין שנים,economy,2026,0038400110,מענק לאינטל,1064000000,1064000000,,"מ-18,865,000 ש""ח ב-2025 ל-1,064,000,000 ש""ח ב-2026",https://next.obudget.org/i/budget/0038400110/2026
ביצוע גבוה מהתקציב המעודכן,economy,2023,0038300224,זירת צמיחה,321880000,358060000,532425260,"בוצעו 532,425,260 ש""ח מול תקציב מעודכן של 358,060,000 ש""ח — פער של 174,365,260 ש""ח",https://next.obudget.org/i/budget/0038300224/2023
ביצוע גבוה מהתקציב המעודכן,economy,2025,0038300224,זירת צמיחה,206119000,280764000,429122490,"בוצעו 429,122,490 ש""ח מול תקציב מעודכן של 280,764,000 ש""ח — פער של 148,358,490 ש""ח",https://next.obudget.org/i/budget/0038300224/2025
ביצוע גבוה מהתקציב המעודכן,economy,2024,0038300224,זירת צמיחה,276119000,318256000,406666956,"בוצעו 406,666,956 ש""ח מול תקציב מעודכן של 318,256,000 ש""ח — פער של 88,410,956 ש""ח",https://next.obudget.org/i/budget/0038300224/2024
ביצוע גבוה מהתקציב המעודכן,economy,2024,0038300202,זירת תשתיות טכנולוגיות,175700000,203602000,400749608,"בוצעו 400,749,608 ש""ח מול תקציב מעודכן של 203,602,000 ש""ח — פער של 197,147,608 ש""ח",https://next.obudget.org/i/budget/0038300202/2024
ביצוע גבוה מהתקציב המעודכן,economy,2025,0038300202,זירת תשתיות טכנולוגיות,272700000,288035000,374446227,"בוצעו 374,446,227 ש""ח מול תקציב מעודכן של 288,035,000 ש""ח — פער של 86,411,227 ש""ח",https://next.obudget.org/i/budget/0038300202/2025
ביצוע גבוה מהתקציב המעודכן,economy,2023,0038300202,זירת תשתיות טכנולוגיות,209416000,220783000,369587166,"בוצעו 369,587,166 ש""ח מול תקציב מעודכן של 220,783,000 ש""ח — פער של 148,804,166 ש""ח",https://next.obudget.org/i/budget/0038300202/2023
ביצוע גבוה מהתקציב המעודכן,economy,2024,0038300201,זירת הזנק,110626000,122953000,230633319,"בוצעו 230,633,319 ש""ח מול תקציב מעודכן של 122,953,000 ש""ח — פער של 107,680,319 ש""ח",https://next.obudget.org/i/budget/0038300201/2024
ביצוע גבוה מהתקציב המעודכן,economy,2023,0038300201,זירת הזנק,131855000,130445000,209654095,"בוצעו 209,654,095 ש""ח מול תקציב מעודכן של 130,445,000 ש""ח — פער של 79,209,095 ש""ח",https://next.obudget.org/i/budget/0038300201/2023
ביצוע גבוה מהתקציב המעודכן,economy,2023,0038300232,זירת ייצור מתקדם,77562000,89014000,136097067,"בוצעו 136,097,067 ש""ח מול תקציב מעודכן של 89,014,000 ש""ח — פער של 47,083,067 ש""ח",https://next.obudget.org/i/budget/0038300232/2023
קפיצה חדה בין שנים,economy,2026,0038300233,"עתודה להתאמת תקציבי מו""פ",109876000,109876000,,"מ-55,000 ש""ח ב-2025 ל-109,876,000 ש""ח ב-2026",https://next.obudget.org/i/budget/0038300233/2026
ביצוע גבוה מהתקציב המעודכן,economy,2024,0038300232,זירת ייצור מתקדם,65831000,72621000,101826211,"בוצעו 101,826,211 ש""ח מול תקציב מעודכן של 72,621,000 ש""ח — פער של 29,205,211 ש""ח",https://next.obudget.org/i/budget/0038300232/2024
ביצוע גבוה מהתקציב המעודכן,economy,2025,0038300232,זירת ייצור מתקדם,63036000,63036000,100257601,"בוצעו 100,257,601 ש""ח מול תקציב מעודכן של 63,036,000 ש""ח — פער של 37,221,601 ש""ח",https://next.obudget.org/i/budget/0038300232/2025
קפיצה חדה בין שנים,economy,2026,0038700218,עתודה לשינוי מבני בתקינה,83500000,83500000,,"מ-124,000 ש""ח ב-2025 ל-83,500,000 ש""ח ב-2026",https://next.obudget.org/i/budget/0038700218/2026
ביצוע גבוה מהתקציב המעודכן,economy,2023,0038300216,זירת חברתי ציבורי,23268000,23981000,37545783,"בוצעו 37,545,783 ש""ח מול תקציב מעודכן של 23,981,000 ש""ח — פער של 13,564,783 ש""ח",https://next.obudget.org/i/budget/0038300216/2023
ביצוע גבוה מהתקציב המעודכן,economy,2023,0038400926,אחזקת מלאי חירום,0,17234000,33487767,"בוצעו 33,487,767 ש""ח מול תקציב מעודכן של 17,234,000 ש""ח — פער של 16,253,767 ש""ח",https://next.obudget.org/i/budget/0038400926/2023
קפיצה חדה בין שנים,economy,2025,0038400923,מינהל התקינה,25579000,52230000,27791004,"מ-7,148,000 ש""ח ב-2024 ל-52,230,000 ש""ח ב-2025",https://next.obudget.org/i/budget/0038400923/2025
ביצוע גבוה מהתקציב המעודכן,economy,2025,0038300216,זירת חברתי ציבורי,16522000,16522000,27602808,"בוצעו 27,602,808 ש""ח מול תקציב מעודכן של 16,522,000 ש""ח — פער של 11,080,808 ש""ח",https://next.obudget.org/i/budget/0038300216/2025
ביצוע גבוה מהתקציב המעודכן,economy,2023,0038300236,זירה בינלאומית,11634000,12219000,23496928,"בוצעו 23,496,928 ש""ח מול תקציב מעודכן של 12,219,000 ש""ח — פער של 11,277,928 ש""ח",https://next.obudget.org/i/budget/0038300236/2023
ביצוע ללא תקציב מעודכן,economy,2025,0038300249,קרן קוריאה ישראל,0,0,14461046,"בוצעו 14,461,046 ש""ח מתקנה שתקציבה המעודכן אפס",https://next.obudget.org/i/budget/0038300249/2025
ביצוע ללא תקציב מעודכן,economy,2023,0038400117,מסלול להגדלת הפיריון בתעשייה,0,0,14353213,"בוצעו 14,353,213 ש""ח מתקנה שתקציבה המעודכן אפס",https://next.obudget.org/i/budget/0038400117/2023
ביצוע ללא תקציב מעודכן,economy,2025,0038300243,קרן הודו ישראל,0,0,11930474,"בוצעו 11,930,474 ש""ח מתקנה שתקציבה המעודכן אפס",https://next.obudget.org/i/budget/0038300243/2025
ביצוע גבוה מהתקציב המעודכן,economy,2023,0038400430,פעולות מכון היהלומים,0,76000,9427224,"בוצעו 9,427,224 ש""ח מול תקציב מעודכן של 76,000 ש""ח — פער של 9,351,224 ש""ח",https://next.obudget.org/i/budget/0038400430/2023
ביצוע ללא תקציב מעודכן,economy,2023,0038300243,קרן הודו ישראל,0,0,9227349,"בוצעו 9,227,349 ש""ח מתקנה שתקציבה המעודכן אפס",https://next.obudget.org/i/budget/0038300243/2023
ביצוע ללא תקציב מעודכן,economy,2024,0038300249,קרן קוריאה ישראל,0,0,7243867,"בוצעו 7,243,867 ש""ח מתקנה שתקציבה המעודכן אפס",https://next.obudget.org/i/budget/0038300249/2024
ביצוע ללא תקציב מעודכן,economy,2025,0038300198,פרויקטים מופ אירופי,0,0,6595477,"בוצעו 6,595,477 ש""ח מתקנה שתקציבה המעודכן אפס",https://next.obudget.org/i/budget/0038300198/2025
ביצוע ללא תקציב מעודכן,economy,2024,0038400430,פעולות מכון היהלומים,0,0,5851385,"בוצעו 5,851,385 ש""ח מתקנה שתקציבה המעודכן אפס",https://next.obudget.org/i/budget/0038400430/2024
ביצוע ללא תקציב מעודכן,economy,2024,0038300243,קרן הודו ישראל,0,0,4835757,"בוצעו 4,835,757 ש""ח מתקנה שתקציבה המעודכן אפס",https://next.obudget.org/i/budget/0038300243/2024
ביצוע ללא תקציב מעודכן,economy,2023,0038300198,פרויקטים מופ אירופי,0,0,1332407,"בוצעו 1,332,407 ש""ח מתקנה שתקציבה המעודכן אפס",https://next.obudget.org/i/budget/0038300198/2023
תקציב שלא בוצע כלל,economy,2023,0038300226,חרבות ברזל מסלול מהיר,0,100000000,0,"תקציב מעודכן של 100,000,000 ש""ח — וביצוע אפס",https://next.obudget.org/i/budget/0038300226/2023
תקציב שלא בוצע כלל,economy,2024,0038300233,"עתודה להתאמת תקציבי מו""פ",42844000,24094000,0,"תקציב מעודכן של 24,094,000 ש""ח — וביצוע אפס",https://next.obudget.org/i/budget/0038300233/2024
תקציב שלא בוצע כלל,economy,2025,0038300299,רזרבה להתייקרויות העברות,61042000,61042000,0,"תקציב מעודכן של 61,042,000 ש""ח — וביצוע אפס",https://next.obudget.org/i/budget/0038300299/2025
תקציב שלא בוצע כלל,economy,2025,0038400110,מענק לאינטל,1296960000,18865000,0,"תקציב מעודכן של 18,865,000 ש""ח — וביצוע אפס",https://next.obudget.org/i/budget/0038400110/2025
תקציב שלא בוצע כלל,economy,2023,0038400484,חרבות ברזל פעולות,0,50000000,0,"תקציב מעודכן של 50,000,000 ש""ח — וביצוע אפס",https://next.obudget.org/i/budget/0038400484/2023
תקציב שלא בוצע כלל,economy,2023,0038400934,חרבות ברזל מלאי חירום,0,160000000,0,"תקציב מעודכן של 160,000,000 ש""ח — וביצוע אפס",https://next.obudget.org/i/budget/0038400934/2023
